;Number of students per school computer;ICT use at and for school;;;;;;Students who reported the use of computers in mathematics lessons during the month prior to the PISA test
;;Students using computers at school;;Students browsing the Internet for schoolwork at least once a week;;;;
;;;;At school;;Outside of school;;
;2012;2012;Change between 2009 and 2012;2012;Change between 2009 and 2012;2012;Change between 2009 and 2012;2012
;Mean;%;% dif.;%;% dif.;%;% dif.;%
OECD average;4,7;72,0;1,3;41,9;3,4;54,9;9,5;31,6
Australia;0,9;93,7;2,1;80,8;15,8;75,6;7,8;40,0
New Zealand;1,2;86,4;3,0;59,3;9,1;66,1;14,5;28,6
Macao-China;1,3;87,6;7,5;26,7;1,5;44,2;12,9;34,0
United Kingdom;1,4;m;m;m;m;m;m;m
Czech Republic;1,6;83,2;4,1;47,6;9,8;61,6;15,8;25,6
Norway;1,7;91,9;-1,1;69,0;-0,2;68,8;5,4;73,1
United States;1,8;m;m;m;m;m;m;m
Lithuania;1,9;m;m;m;m;m;m;m
Slovak Republic;2,0;80,2;0,9;43,1;0,0;50,3;11,1;33,3
Singapore;2,0;69,9;7,2;30,4;4,5;56,0;12,8;34,4
Cyprus1, 2;2,1;m;m;m;m;m;m;m
Liechtenstein;2,1;91,8;0,9;41,3;-14,5;43,9;10,1;37,9
Estonia;2,1;61,0;5,2;28,9;7,3;64,0;13,7;39,2
Hong Kong-China;2,2;83,8;1,1;22,7;-5,5;50,3;6,2;16,8
Spain;2,2;73,2;7,7;51,1;8,5;61,9;13,7;29,4
Luxembourg;2,2;m;m;m;m;m;m;m
Hungary;2,2;74,7;5,3;35,7;-4,7;52,7;2,4;25,9
Latvia;2,2;52,4;5,1;23,1;5,9;54,4;13,6;30,8
Denmark;2,4;86,7;-6,3;80,8;6,6;74,3;13,2;58,3
Kazakhstan;2,5;m;m;m;m;m;m;m
Ireland;2,6;63,5;0,6;32,4;6,4;45,4;16,7;17,6
Bulgaria;2,6;m;m;m;m;m;m;m
Netherlands;2,6;94,0;-2,6;67,5;0,2;65,8;12,7;20,2
Switzerland;2,7;78,3;2,6;32,5;-2,9;46,0;8,6;29,6
Belgium;2,8;65,3;2,5;29,4;12,6;57,1;14,0;25,6
Canada;2,8;m;m;m;m;m;m;m
France;2,9;m;m;m;m;m;m;m
Shanghai-China;2,9;38,3;m;9,7;m;38,5;m;8,6
Austria;2,9;81,4;-2,7;48,0;2,8;53,0;10,5;38,3
Russian Federation;3,0;80,2;7,9;20,3;3,5;62,9;29,4;52,6
Thailand;3,1;m;m;m;m;m;m;m
Finland;3,1;89,0;1,6;34,9;4,2;28,3;10,5;19,1
Slovenia;3,3;57,2;-1,0;41,6;7,3;58,8;14,6;29,6
Japan;3,6;59,2;0,0;11,3;-1,6;16,5;7,7;23,8
Colombia;3,7;m;m;m;m;m;m;m
Sweden;3,7;87,0;-2,1;66,6;6,3;58,5;11,2;20,0
Portugal;3,7;69,0;13,8;38,1;-2,2;67,4;6,9;28,8
Poland;4,0;60,3;-0,3;30,3;3,6;66,4;10,0;23,3
Iceland;4,1;81,9;2,4;28,9;-9,0;35,8;4,5;33,5
Italy;4,1;66,8;3,0;28,8;1,3;49,1;3,6;40,4
Qatar;4,2;m;m;m;m;m;m;m
United Arab Emirates;4,2;m;m;m;m;m;m;m
Germany;4,2;68,7;4,1;28,9;2,3;51,3;11,5;26,9
Romania;4,6;m;m;m;m;m;m;m
Israel;4,7;55,2;4,0;30,6;3,3;49,0;6,4;30,7
Chile;4,7;61,7;4,9;44,5;0,3;64,7;17,7;28,3
Jordan;5,0;79,7;5,7;32,6;2,0;42,7;14,7;69,6
Croatia;5,0;78,3;10,3;31,4;3,4;59,2;18,9;23,7
Korea;5,3;41,9;-20,9;11,0;-2,6;31,3;-10,6;9,8
Chinese Taipei;5,8;78,8;m;28,6;m;25,9;m;9,3
Montenegro;7,7;m;m;m;m;m;m;m
Peru;7,9;m;m;m;m;m;m;m
Greece;8,2;65,9;8,0;44,9;9,7;54,4;13,7;33,3
Viet Nam;8,6;m;m;m;m;m;m;m
Uruguay;8,7;49,9;2,2;40,0;11,2;73,2;19,6;39,4
Serbia;8,8;82,0;10,7;24,9;7,0;48,7;21,3;33,4
Albania;8,9;m;m;m;m;m;m;m
Argentina;14,1;m;m;m;m;m;m;m
Mexico;15,5;60,6;m;39,5;m;67,0;m;41,4
Indonesia;16,4;m;m;m;m;m;m;m
Malaysia;16,7;m;m;m;m;m;m;m
Costa Rica;17,7;57,4;m;38,3;m;64,8;m;25,6
Brazil;22,1;m;m;m;m;m;m;m
Turkey;44,9;48,7;-2,1;28,0;0,0;50,2;-1,9;41,7
Tunisia;53,1;m;m;m;m;m;m;m
